status = E
*****************RX_Mode start******************************R
 11 27 21 94 2A : 19 95 51 03 00 7C FF 91 9D B6 99 2D 95 45 22 DA A5 57 D1 EA AA AA AA AA AB 7E 11 27 21 94 2A 01 
 82 73 56 45 C3 : 06 A3 63 5E BA B5 8A 49 45 6C 40 D2 4A 52 00 95 4A A8 AD D4 54 45 69 5B 31 4D 4A 8D 37 6D 95 33 
 82 73 56 45 C3 : 06 A3 63 5E BC 55 51 AB AE 8E FA 55 55 DD 4F A5 B6 DB E2 A8 7A 52 CA 3B 99 DB 8D F6 B5 BB FB 4B 
 82 73 56 45 C3 : 06 A3 63 5E BF 4A D9 B4 90 6A 74 AB 63 59 6A D5 9B C2 90 CE 8D 4C 55 5B D5 BC 92 51 54 D3 55 2B 
 11 27 21 94 2A : 1A 95 51 03 00 7C FF C1 0F 5A AB 62 DA DA EC DF DF BF F5 EA AA AA AA AA AE FE 22 4E 43 28 54 04 
 82 73 56 45 C3 : 07 A3 50 6F AA AA D6 FB 22 E3 63 E7 CC 52 F8 C1 C8 73 DC 18 E5 65 53 1E E1 CA 3D 8E 55 17 D2 91 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E B5 57 D6 6A F6 94 8A B5 57 AB F5 55 55 55 57 5D FC 44 9C 86 50 A8 0C 
 82 73 56 45 C3 : 04 A3 05 3C B6 AB 2F 57 B5 CF 55 DA AE DC 4A 4D E3 D4 EE DB 48 94 B2 A7 4D BA DA AE A9 5B 2D 6D 
 82 73 56 45 C3 : 04 A3 05 3C B6 A1 AA ED D7 B5 4C 4E AA 2A E2 DD F9 1A D7 25 51 AA 8A DB B6 9A 59 49 AF A9 79 B1 
 82 73 56 45 C3 : 04 A3 05 3C B4 5F B4 A2 A6 DB 17 75 44 B2 A5 75 85 6A D5 6B 55 E4 94 B5 74 52 EC 55 55 5A D2 9A 
 11 27 21 94 2A : 18 95 51 03 00 7C FF A1 EC 5D 5A 95 89 57 2A 05 55 5B F7 FD 55 55 55 55 56 FE 22 4E 43 28 54 00 
 82 73 56 45 C3 : 05 A3 36 0D E2 45 14 25 5C AD 73 77 AD FF FF F5 7F FD FF B7 96 DD 7F DD D7 7E FD AD 55 66 AA B2 
 82 73 56 45 C3 : 05 A3 36 0D B6 45 75 05 EE D5 B5 A3 6C 22 57 53 54 AC AA B2 5C 9A 21 47 AC AE B2 AA 5D 75 5B 55 
 11 27 21 94 2A : 19 95 51 03 00 7C FF 91 9D B5 52 B6 6B 4A AB 32 2A AE AA F5 55 55 55 55 56 DE 22 4E 43 28 54 02 
